vi;vi+1;tmin/ti
0.108133;0.104809;1.03172;
0.0286935;0.0230103;1.24698;
0.0353499;0.0269294;1.31268;
0.0138837;0.0117064;1.18599;
0.00284946;0.00303838;1.0663;
0.107457;0.105869;1.015;
0.0321517;0.0290246;1.10774;
0.0208257;0.0203032;1.02573;
0.00251691;0.00348114;1.3831;
0.00365784;0.0039616;1.08304;
0.0507245;0.045325;1.11913;
0.0646225;0.0624738;1.03439;
0.0192779;0.0183367;1.05133;
0.0400803;0.0388595;1.03142;
0.0542602;0.0516855;1.04981;
0.0142218;0.0151051;1.06211;
0.0948799;0.0930441;1.01973;
0.0157622;0.0140803;1.11945;
0.0593785;0.0538998;1.10165;
0.0930517;0.0885784;1.0505;
0.018459;0.0177818;1.03808;
0.101118;0.0932379;1.08451;
0.00229968;0.00263;1.14364;
0.00143694;0.00128814;1.11552;
0.0493155;0.0460226;1.07155;
0.030255;0.0300841;1.00568;
0.00449873;0.00433348;1.03813;
0.00704924;0.00536782;1.31324;
0.0174746;0.0170117;1.02721;
0.0151528;0.0141578;1.07028;
0.0083999;0.00829874;1.01219;
0.0241656;0.0224632;1.07578;
0.00696241;0.00850429;1.22146;
0.0227758;0.0221042;1.03039;
0.0933753;0.104858;1.12298;
0.0501302;0.0428253;1.17057;
0.128555;0.112041;1.1474;
0.0448895;0.0370082;1.21296;
0.0513241;0.0451599;1.1365;
0.0900435;0.0831377;1.08306;
0.00503079;0.00615261;1.22299;
0.00924622;0.0112647;1.21831;
0.0036144;0.00344146;1.05025;
0.00867378;0.00670338;1.29394;
0.0524421;0.0483143;1.08543;
0.106952;0.0950679;1.12501;
0.00160959;0.00151341;1.06356;
0.0340516;0.032316;1.05371;
0.040425;0.039917;1.01273;
0.0733588;0.0684103;1.07234;
0.0313177;0.0300238;1.0431;
0.0242095;0.0230616;1.04978;
0.0347973;0.0346872;1.00317;
0.0105286;0.0103977;1.01259;
0.0149417;0.0140864;1.06072;
0.0593469;0.0553365;1.07247;
0.0400994;0.0400118;1.00219;
0.124929;0.115268;1.08381;
0.0281919;0.0276815;1.01844;
0.122515;0.114531;1.06971;
0.00173421;0.00157594;1.10043;
0.0142669;0.0144574;1.01335;
0.0278857;0.0251298;1.10967;
0.00755134;0.00676002;1.11706;
0.0507978;0.0479128;1.06021;
0.0732752;0.0736289;1.00483;
0.00520258;0.00754803;1.45082;
0.105961;0.100278;1.05668;
0.013535;0.0142892;1.05572;
0.0888484;0.0843778;1.05298;
0.0220281;0.0204929;1.07491;
0.0161191;0.0137144;1.17535;
0.0102237;0.0122383;1.19705;
0.0318459;0.0293922;1.08348;
0.00352141;0.00332162;1.06015;
0.0401282;0.0364006;1.1024;
0.0414718;0.0375169;1.10542;
0.0348258;0.0335657;1.03754;
0.0761936;0.0676914;1.1256;
0.0153516;0.0156637;1.02033;
0.114358;0.101741;1.12401;
0.0184292;0.0172038;1.07123;
0.0834294;0.0816472;1.02183;
0.0171277;0.0167637;1.02171;
0.0374928;0.0370273;1.01257;
0.0089737;0.00893723;1.00408;
0.0165345;0.0152152;1.08671;
0.0230226;0.0216052;1.0656;
0.0035147;0.00356815;1.01521;
0.00359495;0.00334253;1.07552;
0.0300131;0.028203;1.06418;
0.0219821;0.0194828;1.12828;
0.0380443;0.0380683;1.00063;
0.0344214;0.0366885;1.06586;
