filename;Temps-calculs(s);optimum;N;M;N*M
../../keptInstances/knapPI_11_50_1000_9.in;0.0146925;2158;50;3194;159700
../../keptInstances/knapPI_14_20_1000_99.in;0.0256519;13846;20;9848;196960
../../keptInstances/knapPI_13_20_1000_76.in;0.00955062;5775;20;4235;84700
../../keptInstances/knapPI_11_20_1000_31.in;0.00233256;5184;20;1204;24080
../../keptInstances/knapPI_14_100_1000_16.in;0.0892079;17424;100;7853;785300
../../keptInstances/knapPI_14_20_1000_91.in;0.0273359;14242;20;10645;212900
../../keptInstances/knapPI_14_20_1000_75.in;0.0190249;10762;20;7163;143260
../../keptInstances/knapPI_11_20_1000_8.in;0.00256264;1350;20;1503;30060
../../keptInstances/knapPI_13_50_1000_4.in;0.00340393;969;50;737;36850
../../keptInstances/knapPI_15_100_1000_9.in;0.0426302;3930;100;3897;389700
../../keptInstances/knapPI_12_50_1000_43.in;0.0542934;8715;50;9994;499700
../../keptInstances/knapPI_11_50_1000_29.in;0.0157818;8620;50;3051;152550
../../keptInstances/knapPI_15_50_1000_26.in;0.035257;6387;50;6354;317700
../../keptInstances/knapPI_15_50_1000_35.in;0.046599;8475;50;8440;422000
../../keptInstances/knapPI_13_20_1000_50.in;0.0118805;6634;20;5505;110100
../../keptInstances/knapPI_12_50_1000_59.in;0.0870856;16575;50;15115;755750
../../keptInstances/knapPI_16_20_1000_52.in;0.0128745;10115;20;5283;105660
../../keptInstances/knapPI_13_100_1000_24.in;0.051776;10226;100;4114;411400
../../keptInstances/knapPI_11_100_1000_12.in;0.0748105;8742;100;7719;771900
../../keptInstances/knapPI_16_20_1000_54.in;0.0143324;10776;20;6485;129700
../../keptInstances/knapPI_15_50_1000_56.in;0.0757992;13911;50;13871;693550
../../keptInstances/knapPI_12_20_1000_9.in;0.00205796;1434;20;1409;28180
../../keptInstances/knapPI_11_20_1000_5.in;0.00116183;736;20;830;16600
../../keptInstances/knapPI_13_100_1000_8.in;0.0395558;5428;100;4250;425000
../../keptInstances/knapPI_12_20_1000_97.in;0.025902;9795;20;10339;206780
../../keptInstances/knapPI_14_50_1000_2.in;0.00396506;2581;50;982;49100
../../keptInstances/knapPI_11_20_1000_23.in;0.00495549;8869;20;2636;52720
../../keptInstances/knapPI_13_50_1000_73.in;0.0143642;6449;50;2349;117450
../../keptInstances/knapPI_13_20_1000_37.in;0.0102402;6093;20;4728;94560
../../keptInstances/knapPI_13_20_1000_18.in;0.00665422;4234;20;3682;73640
../../keptInstances/knapPI_13_20_1000_57.in;0.0185074;9688;20;8368;167360
../../keptInstances/knapPI_11_20_1000_20.in;0.00672159;2337;20;3545;70900
../../keptInstances/knapPI_15_20_1000_74.in;0.0189518;8100;20;8085;161700
../../keptInstances/knapPI_16_200_1000_4.in;0.085487;15937;200;4218;843600
../../keptInstances/knapPI_16_50_1000_31.in;0.0438633;16775;50;7639;381950
../../keptInstances/knapPI_15_50_1000_84.in;0.133912;18639;50;18588;929400
../../keptInstances/knapPI_16_50_1000_29.in;0.040722;16295;50;6353;317650
../../keptInstances/knapPI_16_100_1000_9.in;0.0445333;13595;100;3897;389700
../../keptInstances/knapPI_13_50_1000_84.in;0.0862173;17803;50;13040;652000
../../keptInstances/knapPI_12_20_1000_16.in;0.0049467;2415;20;2710;54200
../../keptInstances/knapPI_14_50_1000_7.in;0.00881961;4227;50;1828;91400
../../keptInstances/knapPI_11_50_1000_24.in;0.00328563;9918;50;614;30700
../../keptInstances/knapPI_13_20_1000_27.in;0.00639793;4142;20;3441;68820
../../keptInstances/knapPI_14_50_1000_32.in;0.0469813;14158;50;7670;383500
../../keptInstances/knapPI_12_50_1000_74.in;0.0949616;14085;50;14690;734500
../../keptInstances/knapPI_14_20_1000_4.in;0.0030679;2255;20;999;19980
../../keptInstances/knapPI_11_20_1000_85.in;0.0316794;13848;20;13257;265140
../../keptInstances/knapPI_13_50_1000_25.in;0.0377045;9318;50;6467;323350
../../keptInstances/knapPI_13_50_1000_33.in;0.0676349;14260;50;11482;574100
../../keptInstances/knapPI_16_20_1000_89.in;0.0263351;16254;20;10788;215760
../../keptInstances/knapPI_13_20_1000_83.in;0.0220882;10612;20;8798;175960
